符号,货币,国家和地区,ISO代码,辅助单位[9],进位制,软件开发状态,货币状态,鉴伪状态,备注,Unnamed: 10
£,阿森松镑[3],阿森松岛[2],无,便士,100,,,,,
£,圣赫伦那镑,阿森松岛[2],SHP,便士,100,,,,,
£,英镑,崔斯坦达库尼亚[4],GBP,便士,100,初步开发,,,,
£,特里斯坦达库尼亚镑[3],崔斯坦达库尼亚[4],无,便士,100,初步开发,,,,
£,福克兰群岛镑,福克兰群岛 [2],FKP,便士,100,,,,,
£,英镑,"南乔治亚和
南桑德韦奇群岛[2]",GBP,便士,100,初步开发,,,,
£,南乔治亚和南桑德韦奇群岛镑[3],"南乔治亚和
南桑德韦奇群岛[2]",无,便士,100,初步开发,,,,
£,南苏丹镑,南苏丹共和国[2],SSP,派砂,100,,,,,
£或ل.س,叙利亚镑,叙利亚,SYP,皮阿斯特,100,初步开发,货币不全,,"有全部图像数据，鉴伪未测试
最新版本只有1000面额；
缺09版50、100；
缺21版200；
缺13版500；
缺15版2000；
缺23版5000；",
£或ج.م,埃及镑,埃及,EGP,皮阿斯特,100,初步开发,,,,
此等货币大多称作“法郎”，并多由法语圈国家采用。,此等货币大多称作“法郎”，并多由法语圈国家采用。,此等货币大多称作“法郎”，并多由法语圈国家采用。,此等货币大多称作“法郎”，并多由法语圈国家采用。,此等货币大多称作“法郎”，并多由法语圈国家采用。,此等货币大多称作“法郎”，并多由法语圈国家采用。,,,,,
Fr,法郎,布隆迪,BIF,分,100,,,,,
Fr,法郎,刚果民主共和国,CDF,分,100,初步开发,货币不全,未做鉴伪,只有2022版500，其他面额没有,
Fr,法郎,吉布提,DJF,分,100,,,,,
Fr,法郎,几内亚,GNF,分,100,,,,,
Fr,法郎,科摩罗,KMF,分,100,,,,,
Fr,法郎,卢旺达,RWF,分,100,,,,,
Fr,非洲金融共同体法郎（西非法郎）,贝宁,XOF,分,100,初步开发,货币不全,,还没统计,
Fr,非洲金融共同体法郎（西非法郎）,布基纳法索,XOF,分,100,初步开发,货币不全,,还没统计,
Fr,非洲金融共同体法郎（西非法郎）,塞内加尔,XOF,分,100,初步开发,货币不全,,还没统计,
Fr,非洲金融共同体法郎（西非法郎）,尼日尔,XOF,分,100,初步开发,货币不全,,还没统计,
Fr,非洲金融共同体法郎（西非法郎）,马里,XOF,分,100,初步开发,货币不全,,还没统计,
Fr,非洲金融共同体法郎（西非法郎）,几内亚比绍,XOF,分,100,初步开发,货币不全,,还没统计,
Fr,非洲金融共同体法郎（西非法郎）,科特迪瓦,XOF,分,100,初步开发,货币不全,,还没统计,
Fr,非洲金融共同体法郎（西非法郎）,多哥,XOF,分,100,初步开发,货币不全,,还没统计,
Fr,中非法郎,乍得,XAF,分,100,初步开发,货币不全,,缺02版500、1K、2K、5K、10K,
Fr,中非法郎,中非,XAF,分,100,初步开发,货币不全,,缺02版500、1K、2K、5K、10K,
Fr,中非法郎,喀麦隆,XAF,分,100,初步开发,货币不全,,缺02版500、1K、2K、5K、10K,
Fr,中非法郎,赤道几内亚,XAF,分,100,初步开发,货币不全,,缺02版500、1K、2K、5K、10K,
Fr,中非法郎,刚果共和国,XAF,分,100,初步开发,货币不全,,缺02版500、1K、2K、5K、10K,
Fr,中非法郎,加蓬,XAF,分,100,初步开发,货币不全,,缺02版500、1K、2K、5K、10K,
Fr,太平洋法郎,法属波利尼西亚[2],XPF,分,100,,,,,
Fr,太平洋法郎,瓦利斯及富图纳群岛[2],XPF,分,100,,,,,
Fr,太平洋法郎,新喀里多尼亚[2],XPF,分,100,,,,,
Fr,瑞士法郎,瑞士,CHF,生丁,100,初步开发,,,,
Fr,瑞士法郎,列支敦士登,CHF,生丁,100,初步开发,,,,
